a,hamming_abs,hamming_norm
0.0,196639,0.393278
0.02,195677,0.391354
0.04,193822,0.387644
0.06,191138,0.382276
0.08,188345,0.37669
0.1,184718,0.369436
0.12,180723,0.361446
0.14,173310,0.34662
0.16,164294,0.328588
0.18,146387,0.292774
0.2,105571,0.211142
0.22,164411,0.328822
0.24,188958,0.377916
0.26,201475,0.40295
0.28,209255,0.41851
0.3,214540,0.42908
0.32,216618,0.433236
0.34,217053,0.434106
0.36,217331,0.434662
0.38,217903,0.435806
0.4,218983,0.437966
0.42,219188,0.438376
0.44,220128,0.440256
0.46,219876,0.439752
0.48,219694,0.439388
0.5,219552,0.439104
0.52,220337,0.440674
0.54,220271,0.440542
0.56,220249,0.440498
0.58,219706,0.439412
0.6,219216,0.438432
0.62,218451,0.436902
0.64,219361,0.438722
0.66,220246,0.440492
0.68,219731,0.439462
0.7000000000000001,219718,0.439436
0.72,219245,0.43849
0.74,219358,0.438716
0.76,219685,0.43937
0.78,218998,0.437996
0.8,218446,0.436892
0.8200000000000001,217878,0.435756
0.84,217573,0.435146
0.86,218102,0.436204
0.88,217489,0.434978
0.9,218289,0.436578
0.92,218293,0.436586
0.9400000000000001,217490,0.43498
0.96,217268,0.434536
0.98,216944,0.433888
1.0,216335,0.43267
