aLog,aLog_es_original,hamming_abs,hamming_norm
3.97,0,250296,0.500592
3.971,0,249759,0.499518
3.972,0,249216,0.498432
3.973,0,250127,0.500254
3.9739999999999998,0,249956,0.499912
3.9749999999999996,0,249725,0.49945
3.9759999999999995,0,249786,0.499572
3.9769999999999994,0,250162,0.500324
3.9779999999999993,0,249886,0.499772
3.978999999999999,0,249653,0.499306
3.979999999999999,0,249918,0.499836
3.980999999999999,0,250348,0.500696
3.981999999999999,0,250177,0.500354
3.9829999999999988,0,249441,0.498882
3.9839999999999987,0,250538,0.501076
3.9849999999999985,0,250381,0.500762
3.9859999999999984,0,249353,0.498706
3.9869999999999983,0,250329,0.500658
3.987999999999998,0,250405,0.50081
3.988999999999998,0,249891,0.499782
3.989999999999998,1,251900,0.5038
3.990999999999998,0,249484,0.498968
3.9919999999999978,0,250084,0.500168
3.9929999999999977,0,249714,0.499428
3.9939999999999976,0,250366,0.500732
3.9949999999999974,0,250619,0.501238
3.9959999999999973,0,249596,0.499192
3.996999999999997,0,250354,0.500708
3.997999999999997,0,250515,0.50103
3.998999999999997,0,250193,0.500386
3.999999999999997,0,250091,0.500182
