aLog,aLog_es_original,hamming_abs,hamming_norm
3.97,0,232192,0.464384
3.971,0,231259,0.462518
3.972,0,231390,0.46278
3.973,0,230023,0.460046
3.9739999999999998,0,229929,0.459858
3.9749999999999996,0,229398,0.458796
3.9759999999999995,0,230568,0.461136
3.9769999999999994,0,230978,0.461956
3.9779999999999993,0,232336,0.464672
3.978999999999999,0,230492,0.460984
3.979999999999999,0,230272,0.460544
3.980999999999999,0,229971,0.459942
3.981999999999999,0,230930,0.46186
3.9829999999999988,0,230012,0.460024
3.9839999999999987,0,231765,0.46353
3.9849999999999985,0,231065,0.46213
3.9859999999999984,0,231086,0.462172
3.9869999999999983,0,231572,0.463144
3.987999999999998,0,230763,0.461526
3.988999999999998,0,231314,0.462628
3.989999999999998,1,178360,0.35672
3.990999999999998,0,231403,0.462806
3.9919999999999978,0,233035,0.46607
3.9929999999999977,0,231523,0.463046
3.9939999999999976,0,232449,0.464898
3.9949999999999974,0,232640,0.46528
3.9959999999999973,0,232316,0.464632
3.996999999999997,0,232204,0.464408
3.997999999999997,0,233717,0.467434
3.998999999999997,0,233959,0.467918
3.999999999999997,0,235050,0.4701
