Tiempo,Error_x,Error_y,Error_z
0.0,0.0,0.0,0.0
0.01,8.956451123809384e-08,5.285492796214264e-08,1.610458643247492e-07
0.02,1.760331758415834e-07,1.0395930047368829e-07,2.990645238398759e-07
0.03,2.58765611146905e-07,1.53192088889198e-07,4.102899344854416e-07
0.04,3.4128683484846434e-07,2.011542447194481e-07,5.148953556299851e-07
0.05,5.588828126956713e-07,2.712951522876317e-07,1.3890976314628878e-06
0.06,9.133805226879677e-07,3.638404556804975e-07,3.0460331900128423e-06
0.07,1.289677498517161e-06,4.587645003467644e-07,4.827288786049544e-06
0.08,1.6074149718492414e-06,5.421367070546079e-07,6.271671674260015e-06
0.09,1.8168643556581987e-06,6.053845145598258e-07,7.092329366117922e-06
0.1,1.8950294358582864e-06,6.445949343458768e-07,7.155043282566775e-06
0.11,1.8419531966490377e-06,6.598526912510172e-07,6.457639073073618e-06
0.12,1.6772187447222642e-06,6.546130280893347e-07,5.110458842078058e-06
0.13,1.4366343145250093e-06,6.351073511962069e-07,3.3178429241498275e-06
0.14,1.169092830877183e-06,6.097799881144006e-07,1.360571175321179e-06
0.15,9.335969773927033e-07,5.887544179683513e-07,4.2078399965783664e-07
0.16,7.96441169889639e-07,5.833274202698968e-07,1.6416384889667013e-06
0.17,8.274587809803391e-07,6.053118788151846e-07,1.8946999201102654e-06
0.18,1.0075948269766544e-06,6.515920403515896e-07,1.2892499259425927e-06
0.19,1.2490463050379708e-06,7.07082607451226e-07,3.324486529884818e-07
0.2,1.4963121212629993e-06,7.620870725449924e-07,6.560149445472563e-07
0.21,1.7109522568378721e-06,8.099159515551069e-07,1.4540532177684251e-06
0.22,1.8695533106904971e-06,8.46520055317046e-07,1.9257502981984143e-06
0.23,1.9618017328554282e-06,8.701428479834794e-07,2.0105340068701794e-06
0.24,1.988659075809196e-06,8.809908814133571e-07,1.7129182864616954e-06
0.25,1.9606338826153036e-06,8.809213476873579e-07,1.0927867592006035e-06
0.26,1.8961451083085445e-06,8.731458422672755e-07,2.5618946129790654e-07
0.27,1.8199722342723823e-06,8.619494787365234e-07,6.533738117486809e-07
0.28,1.761787486412314e-06,8.524245407870445e-07,1.4632087930455118e-06
0.29,1.7547658057170956e-06,8.50217901304795e-07,1.9792446481550763e-06
