Tiempo,Y_esclavo
0.0,1.0
0.01,0.9939590842725728
0.02,0.9878562332434527
0.03,0.98169699512644
0.04,0.9754866514813866
0.05,0.9692302275490158
0.06,0.962932502521535
0.07,0.9565980187817652
0.08,0.9502310910094257
0.09,0.9438358154467298
0.1,0.9374160788696044
0.11,0.9309755672669504
0.12,0.9245177742310486
0.13,0.9180460090628243
0.14,0.9115634045962103
0.15,0.9050729247463183
0.16,0.8985773717865211
0.17,0.8920793933593021
0.18,0.8855814891743079
0.19,0.8790860172175677
0.2,0.8725951998332284
0.21,0.8661111298531583
0.22,0.8596357764565072
0.23,0.8531709907992407
0.24,0.846718511420226
0.25,0.8402799694304703
0.26,0.8338568934921101
0.27,0.827450714593725
0.28,0.8210627706285069
0.29,0.8146943107817536
0.3,0.8083464997340662
0.31,0.802020421672737
0.32,0.7957170840463987
0.33,0.7894374211043184
0.34,0.7831822974491688
0.35000000000000003,0.7769525114624141
0.36,0.7707487985806529
0.37,0.7645718344285075
0.38,0.7584222378135076
0.39,0.7523005735882741
0.4,0.7462073553851616
0.41000000000000003,0.7401430482283725
0.42,0.7341080710284078
0.43,0.7281027989635719
0.44,0.7221275657531027
0.45,0.7161826658251426
0.46,0.710268356359415
0.47000000000000003,0.7043848591454248
0.48,0.6985323624068172
0.49,0.6927110226220509
0.5,0.6869209662610574
0.51,0.6811622914410767
0.52,0.675435069505132
0.53,0.6697393465264763
0.54,0.6640751447422183
0.55,0.658442463919215
0.56,0.6528412826551977
0.5700000000000001,0.6472715596179849
0.58,0.6417332347255222
0.59,0.6362262302693817
0.6,0.6307504519842464
0.61,0.6253057900658051
0.62,0.6198921201372095
0.63,0.6145093041423818
0.64,0.609157191132194
0.65,0.6038356180821384
0.66,0.5985444107000435
0.67,0.5932833841926213
0.68,0.5880523439945946
0.6900000000000001,0.5828510864621305
0.7000000000000001,0.5776793995322294
0.71,0.5725370633496507
0.72,0.5674238508628839
0.73,0.5623395283906099
0.74,0.5572838561600333
0.75,0.5522565888184067
0.76,0.5472574759190046
0.77,0.5422862623827559
0.78,0.5373426889366818
0.79,0.5324264925302417
0.8,0.5275374067306328
0.81,0.522675162098048
0.8200000000000001,0.5178394865357445
0.8300000000000001,0.513030105586718
0.84,0.5082467427017532
0.85,0.5034891195568496
0.86,0.49875695634748146
0.87,0.49404997206778306
0.88,0.4893678847754357
0.89,0.4847104118429429
0.9,0.48007727019595
0.91,0.4754681765392322
0.92,0.4708828475709471
0.93,0.4663210001857185
0.9400000000000001,0.4617823516670921
0.9500000000000001,0.4572666198698785
0.96,0.45277352339287336
0.97,0.44830278174242205
0.98,0.443854115487274
0.99,0.4394272464051498
1.0,0.4350218976214251
1.01,0.4306377937403145
1.02,0.4262746609689216
1.03,0.4219322272345025
1.04,0.41761022229527495
1.05,0.41330837784315644
1.06,0.40902642758262214
1.07,0.4047641072745763
1.08,0.4005211548359216
1.09,0.3962973104273462
1.1,0.3920923165329922
1.11,0.38790591803555696
1.12,0.38373786228705076
1.1300000000000001,0.3795878991754212
1.1400000000000001,0.3754557811872469
1.1500000000000001,0.3713412634666907
1.16,0.36724410387089584
1.17,0.3631640630219964
1.18,0.35910090435590863
1.19,0.3550543941680584
1.2,0.35102430165619375
1.21,0.34701039896042474
1.22,0.34301246120062434
1.23,0.33903026651131896
1.24,0.33506359607418956
1.25,0.3311122341482998
1.26,0.3271759680981605
1.27,0.3232545884197351
1.28,0.31934788876448544
1.29,0.3154556659615529
1.3,0.3115777200381636
1.31,0.307713854238344
1.32,0.3038638750400277
1.33,0.30002759217062874
1.34,0.29620481861136894
1.35,0.2923953705585228
1.36,0.28859906742679187
1.37,0.28481573189503456
1.3800000000000001,0.2810451899125533
1.3900000000000001,0.27728727070429005
1.4000000000000001,0.2735418067749847
1.41,0.26980863391234655
1.42,0.2660875911892881
1.43,0.2623785209652662
1.44,0.2586812688867751
1.45,0.2549956838870326
1.46,0.25132161818489895
1.47,0.24765892728306607
1.48,0.24400746996555292
1.49,0.2403671082945408
1.5,0.23673770760658122
1.51,0.23311913650820695
1.52,0.22951126687097537
1.53,0.22591397382597225
1.54,0.22232713575780225
1.55,0.21875063429809125
1.56,0.2151843543185248
1.57,0.21162818392344532
1.58,0.20808201444202953
1.59,0.20454574042006743
1.6,0.20101925961136183
1.61,0.19750247296876774
1.62,0.19399528463488913
1.6300000000000001,0.19049760193245008
1.6400000000000001,0.18700933535435696
1.6500000000000001,0.18353039855346645
1.6600000000000001,0.18006070833207466
1.67,0.17660018463114108
1.68,0.17314875051926087
1.69,0.16970633218139825
1.7,0.16627285888571397
1.71,0.16284826284897147
1.72,0.15943247918321232
1.73,0.1560254460608806
1.74,0.15262710469631224
1.75,0.14923739932393693
1.76,0.14585627717648383
1.77,0.14248368846319903
1.78,0.13911958634807992
1.79,0.13576392692813335
1.8,0.13241666921166265
1.81,0.12907777509658908
1.82,0.12574720934881273
1.83,0.12242493958061758
1.84,0.11911093622912515
1.85,0.11580517253480109
1.86,0.1125076245200186
1.87,0.10921827096768241
1.8800000000000001,0.10593709339991703
1.8900000000000001,0.1026640760568223
1.9000000000000001,0.0993992058752998
1.9100000000000001,0.09614247246795256
1.92,0.09289386810206139
1.93,0.08965338767864
1.94,0.08642102871157166
1.95,0.08319679130682947
1.96,0.07998067814178267
1.97,0.07677269444459078
1.98,0.07357284797368766
1.99,0.07038114899735708
2.0,0.06719761027340168
2.0100000000000002,0.06402224702890677
2.02,0.060855076940100325
2.0300000000000002,0.05769612011231082
2.04,0.05454539906002385
