tiempo_mqtt,tiempo_sincronizacion,tiempo_descifrado,tiempo_total
3.2164525680000224,93.1792771950004,0.4754748150007799,97.77780095399976
2.8416817220022494,93.44814500099892,0.47562119500071276,97.672148509002
2.8274420660018222,93.41403287100184,0.4653142460010713,97.61372162799671
2.8242825339984847,93.76631525700213,0.46886376999827917,97.96688874900065
1.2736386549986491,16.68973771400124,0.16085811399898375,18.959899377998227
1.3865961599985894,16.4824940590006,0.16958451900063665,18.892918427998666
1.2031360080000013,16.528518286999315,0.1605821909979568,18.725478493997798
2.9301271379990794,93.49834108800133,0.493832616999498,97.80581269300092
9.438276820999818,95.221194800999,0.45297793299869227,106.05623368700071
5.0518829920001735,29.27230049300124,0.461526409999351,35.72311478799929
5.0022099950001575,36.41865950600004,0.46842045599987614,42.825574945998596
4.667225085000609,28.701957621000474,0.6883269229983853,34.997116628001095
4.874043284002255,29.26105222499973,0.4525651590010966,35.525215284000296
4.6463784410007065,32.61439266600064,0.45489830300357426,38.66378130399971
4.733247690997814,27.998012967997056,0.476358951000293,34.15020601700235
9.75688313900173,28.753662810002425,0.4557951319984568,39.9092316339993
5.356049555000936,28.647711973997502,0.45941864699852886,35.40488993100007
4.772231560000364,28.868308196000726,0.4580485780024901,35.04230597299829
5.26383266600169,29.89192016299785,0.48295692700048676,36.582806856997195
5.245183674000145,27.559770584000944,0.4499894789987593,34.19622607999918
4.741819197999575,28.263548506001825,0.4639737500001502,34.41041223100183
5.252291766999406,31.09248581599968,0.4776726049967692,37.76696653900217
