Tiempo,Error_x,Error_y,Error_z
0.0,0.1,0.1,0.1
0.005,0.09900790130482161,0.0995964018341352,0.09723875636547322
0.01,0.09803143837956971,0.09919152551446003,0.09455376141725698
0.015,0.09707024218480914,0.09878547233153949,0.0919429203033716
0.02,0.09612395299126279,0.09837833527833006,0.08940419260222435
0.025,0.09519222030537132,0.09797020017005467,0.08693559169484215
0.03,0.09427470278929437,0.09756114798301564,0.08453518415534492
0.035,0.09337106817390553,0.09715125652060246,0.0822010891591131
0.04,0.09248099255258478,0.09674060118547356,0.07993147437845655
0.045,0.09160412100139223,0.09632926198616004,0.07772433033344556
0.05,0.09074013741394416,0.09591731138546053,0.07557787029841324
0.055,0.08988876199192124,0.09550481483137227,0.07349051623537842
0.06,0.08904972044494587,0.09509183617873054,0.07146072241433694
0.065,0.08822274391051017,0.0946784377113333,0.0694869749170481
0.07,0.08740756887624075,0.09426468016306074,0.06756779115514155
0.075,0.08660393710442622,0.09385062274149089,0.06570171940212145
0.08,0.08581159555872832,0.09343632315329665,0.0638873383388562
0.085,0.08503029633300488,0.0930218376299453,0.0621232566121562
0.09,0.08425979658218066,0.09260722095301803,0.06040811240605341
0.095,0.08349985845510526,0.09219252647899431,0.05874057302540866
0.1,0.08275024902934054,0.0917778061634901,0.05711933449148396
0.105,0.08201074024782129,0.09136311058496212,0.05554312114912838
0.11,0.08128110885733406,0.09094848896789172,0.054010685285236615
0.115,0.08056113634876201,0.09053398920546209,0.052520806758149595
0.12,0.07985060889904351,0.09011965788174191,0.0510722926376769
0.125,0.07914931731479535,0.08970554029338804,0.0496639768554302
0.13,0.07845705697755156,0.08929168047087983,0.048294719865166286
0.135,0.07777362779057119,0.08887812119929692,0.04696340831284769
0.14,0.07709883412716927,0.08846490403865244,0.0456689547161373
0.145,0.07643248478052678,0.08805206934379536,0.044410297153052176
0.15,0.07577439291493637,0.08763965628391245,0.04318639895951011
0.155,0.07512437601844196,0.08722770286175525,0.04199624843551009
0.16,0.07448225585682984,0.08681624593300112,0.040838858559696004
0.165,0.07384785842892766,0.08640532122643903,0.0397132667120601
0.17,0.07322101500665075,0.08599496318719999,0.038618540749781285
0.17500000000000002,0.07260158187083475,0.085585201712821,0.03755389432254347
0.18,0.07198942044404191,0.0851760654193981,0.03651857038597299
0.185,0.07138439098166059,0.08476758277707641,0.03551180494090388
0.19,0.07078635640537652,0.08435978149043415,0.034532849557405404
0.195,0.07019518226547147,0.08395268850994675,0.033580971141606165
0.2,0.06961073670421096,0.08354633004471657,0.03265545170914611
0.20500000000000002,0.0690328904202843,0.0831407315753647,0.03175558816506517
0.21,0.06846151663426582,0.0827359178666178,0.030880692089943117
0.215,0.06789649105506808,0.08233191297956217,0.030030089532110667
0.22,0.06733769184735866,0.0819287402836092,0.029203120805757092
0.225,0.06678499959991288,0.08152642246819243,0.028399140294764705
0.23,0.0662382972948755,0.08112498155420574,0.027617516262105814
0.23500000000000001,0.06569747027790537,0.08072443890518968,0.026857630664642286
0.24,0.0651624062291775,0.08032481523827253,0.026118878973172673
0.245,0.06463299513521803,0.07992613063487222,0.025400669997576463
0.25,0.06410912926154817,0.07952840455116557,0.024702425716909327
0.255,0.0635907031261137,0.07913165582833093,0.024023581114307548
0.26,0.06307761347347758,0.07873590270256958,0.02336358401656389
0.265,0.06256975924975385,0.07834116281491224,0.022721894938241394
0.27,0.06206704157826112,0.07794745322081559,0.022097986930195133
0.275,0.061569363735875515,0.077554790399555,0.021491345432376203
0.28,0.06107663113006247,0.07716319026342244,0.020901468130795364
0.28500000000000003,0.06058875127656799,0.07677266816675983,0.020327864818527767
0.29,0.06010563377775016,0.07638323891494278,0.019770057260643403
0.295,0.05962719030153076,0.07599491677357799,0.0192275790629513
0.3,0.05915333468609903,0.07560771547386035,0.018699976461596105
0.305,0.058683987738012124,0.07522164747638077,0.0181868372256215
0.31,0.05821907814809678,0.07483672363209021,0.0176877939390162
0.315,0.05775853621101154,0.07445295435929403,0.017202488249883588
0.32,0.057302293393516904,0.07407034974324796,0.016730568596867546
0.325,0.05685028231671742,0.07368891954046189,0.01627169009860321
0.33,0.056402436738825355,0.07330867318366355,0.015825514446283512
0.335,0.05595869153842803,0.07292961978721418,0.015391709799252848
0.34,0.055518982698242514,0.07255176815262718,0.01496995068354208
0.34500000000000003,0.055083247289342996,0.07217512677401572,0.014559917893261169
0.35000000000000003,0.05465142345584727,0.07179970384342428,0.01416129839476846
0.355,0.05422345040004928,0.07142550725603902,0.013773785233537856
0.36,0.05379926836798496,0.07105254461527931,0.013397077443647293
0.365,0.05337881863541907,0.07068082323777339,0.013030879959814303
0.37,0.05296204349424109,0.07031035015822143,0.01267490353190644
0.375,0.05254888623925839,0.06994113213414897,0.01232886464185648
0.38,0.05213929115537552,0.06957317565055354,0.011992485422914305
0.385,0.05173320350514857,0.06920648692444738,0.01166549358116933
0.39,0.05133056951670388,0.06884107190929882,0.011347622319279205
0.395,0.05093133637201078,0.0684769362993756,0.011038610262342437
0.4,0.05053545219549825,0.06811408553399177,0.010738201385854199
0.405,0.050142866043005774,0.06775252480166152,0.01044614494568663
0.41000000000000003,0.04975352789105865,0.06739225904416224,0.010162195410036143
0.41500000000000004,0.04936738862645891,0.06703329296050865,0.009886112393282458
0.42,0.04898440003618236,0.06667563101084134,0.009617660591705109
0.425,0.04860451479757352,0.06631927742023322,0.009356609721005188
0.43,0.04822768646882947,0.06596423618243098,0.009102734455581248
0.435,0.047853869479764416,0.06561051106359918,0.00885581436950987
