Tiempo,Error_X,Error_Y,Error_Z
0.0,0.9,0.9,0.9
0.01,0.882240245727233,0.8927757500673471,0.8594484064396648
0.02,0.8649501341287907,0.8855067118766585,0.8205566585775799
0.03,0.8481137608166797,0.8781982598436882,0.7832697851343084
0.04,0.8317157179198766,0.8708555166291723,0.7475335816054833
0.05,0.8157410857315318,0.8634833633473732,0.713294692451411
0.06,0.8001754237280752,0.8560864488863531,0.6805006779948687
0.07,0.7850047660256125,0.8486691983030168,0.6491001002218195
0.08,0.7702156141934985,0.8412358215066594,0.6190425908085769
0.09,0.7557949261814789,0.8337903217802664,0.5902788850907537
0.1,0.741730105811757,0.8263365044462885,0.5627608584006399
0.11,0.7280089980187562,0.8188779837416631,0.5364415867807852
0.12,0.7146198755910489,0.8114181910999247,0.511275354128064
0.13,0.7015514260766746,0.8039603831943167,0.48721765725478755
0.14,0.688792746483566,0.7965076479809545,0.4642252470028155
0.15,0.676333330326026,0.7890629123200287,0.4422561252505741
0.16,0.6641630553876197,0.7816289487573554,0.4212695385543367
0.17,0.6522721728199805,0.7742083820908332,0.40122597633111584
0.18,0.64065129873543,0.7668036952797934,0.3820871809326776
0.19,0.6292914022402532,0.7594172355214396,0.3638161309231207
0.2,0.6181837909931579,0.7520512209327621,0.3463770098462352
0.21,0.6073201045732379,0.7447077452375672,0.32973521386521243
0.22,0.5966923031664133,0.7373887834485054,0.31385733137868776
0.23,0.5862926558311129,0.7300961972614415,0.2987111171298126
0.24,0.5761137286966643,0.7228317402500983,0.2842654618581735
0.25,0.5661483769794569,0.715597062448042,0.27049038381804463
0.26,0.5563897357787408,0.7083937146638265,0.2573570083808903
0.27,0.5468312074076734,0.7012231536366178,0.24483752786700191
0.28,0.5374664518879929,0.6940867461289253,0.23290517561823268
0.29,0.5282893793182191,0.6869857728335932,0.22153420996124723
0.3,0.5192941406968815,0.6799214322974609,0.21069988761688724
0.31,0.5104751179251144,0.6728948448552736,0.20037842963305513
0.32,0.5018269132563121,0.6659070566846989,0.19054698415865753
0.33,0.49334434414727807,0.6589590425551508,0.18118361684945278
0.34,0.4850224337399638,0.6520517095685651,0.17226727691226149
0.35000000000000003,0.4768564033209084,0.645185900107448,0.16377777128788237
0.36,0.46884166190151233,0.6383623955367673,0.15569572256185293
0.37,0.4609738014399283,0.6315819184980538,0.14800255702530904
0.38,0.45324858922712774,0.62484513591031,0.14068047626024444
0.39,0.4456619610227127,0.6181526615369658,0.1337124316317151
0.4,0.43821001270059745,0.6115050588964409,0.12708208921251296
0.41000000000000003,0.4308889938546767,0.6049028436561286,0.12077380549570435
0.42,0.4236953029991686,0.5983464857135685,0.11477261083728144
0.43,0.41662548111006714,0.5918364115277996,0.10906418350276992
0.44,0.40967620530620497,0.5853730063144373,0.10363482285590725
0.45,0.4028442819975561,0.5789566163498634,0.09847141972490506
0.46,0.3961266424950193,0.5725875506841833,0.09356143936807335
0.47000000000000003,0.38952033831924493,0.5662660829693108,0.08889290312270522
0.48,0.38302253604546005,0.5599924532082684,0.08445436591357267
0.49,0.3766305116725869,0.5537668696608837,0.08023489150420685
0.5,0.3703416454219303,0.5475895105082427,0.07622402868129881
0.51,0.36415341790298417,0.5414605253358713,0.07241179589947365
0.52,0.3580634065961854,0.5353800364322557,0.0687886663460905
0.53,0.35206928123704295,0.529348140319256,0.06534554729333689
0.54,0.34616879948981594,0.5233649091592256,0.062073759973536216
0.55,0.3403598026599717,0.5174303921103076,0.05896501984927736
0.56,0.334640212118345,0.5115446165765198,0.056011420367552675
0.5700000000000001,0.32900802719947186,0.5057075890541805,0.05320542493787521
0.58,0.32346132071023165,0.49991929654366996,0.05053984508049661
0.59,0.3179982364763372,0.4941797073680666,0.048007829885838696
0.6,0.3126169847831182,0.48848877257018153,0.04560284324941836
0.61,0.30731584020435204,0.48284642661330257,0.04331865446155833
0.62,0.3020931387610698,0.47725258841295104,0.04114932490837485
0.63,0.2969472760696221,0.47170716195407225,0.03908919986184695
0.64,0.2918767039019793,0.46621003735791955,0.03713289172479047
0.65,0.2868799278132842,0.46076109162209394,0.03527526850669295
0.66,0.2819555044845081,0.4553601894124661,0.033511440965780924
0.67,0.2771020390130189,0.4500071839258275,0.03183674918088266
0.68,0.2723181843647085,0.4447019171714842,0.030246761083808915
0.6900000000000001,0.2676026381396875,0.43944422095069047,0.028737255918640632
0.7000000000000001,0.26295414134620854,0.43423391723955496,0.027304218796787072
0.71,0.258371475827569,0.4290708189692888,0.025943827788913257
0.72,0.25385346217403165,0.423954730625459,0.024652443135904846
0.73,0.24939895847541285,0.4188854486484338,0.023426601863424032
0.74,0.24500685851421963,0.4138627620499852,0.022263008331074467
0.75,0.24067609100884196,0.40888645264633616,0.021158531100571316
0.76,0.23640561732740212,0.4039562957376822,0.020110191235663523
0.77,0.23219443011806418,0.39907206051533783,0.019115155393410063
0.78,0.22804155226462464,0.39423351036579735,0.018170730798944386
0.79,0.22394603435266236,0.3894404035864498,0.01727435202108634
0.8,0.21990695485807427,0.38469249339834943,0.016423582503486002
0.81,0.21592341867543993,0.379989528394442,0.015616107013099859
0.8200000000000001,0.2119945557191457,0.37533125295246406,0.014849724299500794
0.8300000000000001,0.2081195204070606,0.37071740737249104,0.014122345090480576
0.84,0.20429748984130347,0.36614772841323506,0.013431982416643451
0.85,0.2005276630478432,0.36162194950544535,0.012776747514911507
0.86,0.19680925999990975,0.3571398009954361,0.012154845596686621
0.87,0.19314152064861734,0.3527010104973109,0.011564570205318349
0.88,0.1895237046687292,0.34830530296344064,0.011004302179327102
0.89,0.1859550905311711,0.34395240093953605,0.010472505102929436
0.9,0.18243497421320043,0.3396420249475711,0.009967718328444078
0.91,0.1789626689750423,0.33537389352773467,0.009488556287611881
0.92,0.17553750444784716,0.33114772350076815,0.00903370351998177
